TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8413.729040,42.180363,44.776884,44.676736,26.969231,23.384738,96.899782,95.075432,45.688104,40.659156,41.985228,44.735002,44.633497,0.000003,427430.81,12.19,2520408408561710,61927516657,1109830182431308,33426193112,4723fb3a683cc8668eb067aed24be2e2,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,2978.253746,39.566802,43.309779,43.625609,23.398551,20.315244,92.621022,90.502295,41.119725,38.831391,39.304158,43.276631,43.595195,0.000073,320646.91,9.61,1899273358692425,53015494510,831314792535096,26698437511,6b52b4e081ae2e2dd2c62d6502c99404,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1072.167217,36.512468,41.581696,42.295010,19.043521,16.609895,83.537650,81.278218,36.057605,36.574718,36.223018,41.550089,42.265904,0.002812,306071.15,7.49,1812738145488192,45494374519,794312166038507,21118722925,64b13074143f80615519db14217f4ad5,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,376.475217,33.455761,39.815356,40.764944,14.527592,12.942534,67.153772,65.086668,31.374507,34.193954,33.232390,39.791385,40.741205,0.011721,184961.62,5.37,1119297201413320,36471069555,480867970388006,15292756734,aad9495559959d7573dff40e1bb9fbcb,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,133.528010,30.649909,38.143956,39.266158,10.437072,9.752675,44.243865,42.705336,27.436159,31.934786,30.514522,38.127659,39.249657,0.045787,89877.04,4.60,570521616555271,28153112683,235760341362015,13174452378,65946a000f4ff49cf460a79416a3b89f,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,50.943518,28.061048,36.526717,37.651404,7.032312,7.085836,21.626105,20.886880,24.226523,29.724594,27.994089,36.516015,37.642800,0.120803,42632.72,4.02,281795004136074,24464531311,113272536583467,11443051342,b7c459db81075de61112b028ad56cf2d,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23948.901560,41.739642,44.985178,46.704792,31.160787,27.328666,99.976257,99.802933,48.050220,42.265434,41.626943,44.945045,46.669218,0.116921,348973.32,13.86,2559679847672200,85280714229,974538412430729,38713831612,a8883605a20434a6afc96f4962110a02,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11089.047568,37.793765,43.141350,44.547232,26.435259,23.182852,97.453070,95.610860,41.471291,39.534296,37.682968,43.117875,44.521415,0.167068,550649.90,15.11,3164062063467777,73691454960,1425595406641080,41396132986,9f3b42e0b11779ee130405ad67a4d309,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4910.463075,33.615093,41.192372,42.196865,21.302146,18.610734,87.782042,85.690887,34.606090,36.390843,33.502529,41.172038,42.172061,0.175847,726434.73,11.50,4141090490308593,59460957013,1884913976372935,31956741971,06fe26999d2e03400d08ed496f35d3c8,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2003.060324,29.671832,38.999745,39.822113,16.187064,14.154877,70.006029,68.038067,28.542071,33.110723,29.564677,38.975208,39.794182,0.223712,435314.77,7.65,2713323837017586,46920154804,1217415780617243,23054402395,46cacbe5de603a6215db7822ccca51df,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,696.212096,26.132307,36.523324,37.217069,11.368867,10.073773,45.312809,43.906369,23.518742,29.904457,26.035150,36.497306,37.198069,0.131756,240904.95,6.39,1418936656099295,36390128970,626932582586689,18239496677,026b1a72edf82df67784be948b0054e4,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,204.758933,23.349274,33.905759,34.352178,7.604253,6.954454,21.931873,21.116749,19.858625,27.114084,23.290374,33.892733,34.348162,0.165462,99457.69,4.12,613302102063124,24251468470,260271302251410,11791926107,b2ad38dde784cbdb5d6261b6df3458fc,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,57561.390769,38.836297,40.270781,41.134513,25.464505,21.384704,99.975934,99.968635,44.040544,37.399251,38.644291,40.176898,41.054714,0.000380,1106767.69,33.40,6344943772938647,158684853387,2870744685328321,90007091649,b523abf963b6c942e6878d2584a748a8,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,23356.175385,35.118104,37.934216,38.628809,22.146113,18.542510,97.013037,94.986301,38.535401,34.890926,34.999654,37.881235,38.570173,0.000599,1035933.00,19.61,7404401499627789,119344781887,2892984834989363,54777771551,7671dbc1e27d99e8f540e5a68f6acf9b,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,9513.818462,31.412601,35.773935,36.231440,18.149782,15.274795,84.131021,81.867478,32.458376,32.397828,31.309199,35.731435,36.181180,0.000863,1327291.66,16.60,9762511001985698,92617928667,4501361704610355,59881181002,06d1ac04d5e15aedff48dbf16dfe22cb,
