TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5585164,48.581999,49.514150,50.875626,50.205999,34.439151,96.976347,96.311967,54.234284,47.758370,48.581999,49.514150,50.875626,0.000000,22851.45,2.81,120641455683181,11058690786,59186859744741,7325597455,3417d2fbe4077cea03e79fa50f1bd1b4,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3687720,42.667618,45.890273,48.315832,44.568223,28.428354,96.224717,95.222171,49.602074,43.306825,42.667618,45.890273,48.315832,0.000018,27193.82,2.38,147558777891126,9875347011,70346514043408,6296368419,40a4a1e7d4541adaec9ba0fb02bb7b5d,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1976703,36.655066,42.779526,45.924397,38.414432,22.092418,94.239337,92.734950,43.053643,38.723896,36.655066,42.779526,45.924397,0.000406,33427.86,1.70,224228663321047,9035556126,93353388313778,4743256562,b6b04e5818e8bf20457fb1baee760694,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,860641,32.050226,40.128833,43.629467,32.128958,17.484151,88.141484,86.150789,36.205670,34.900758,32.050226,40.128833,43.629467,0.002961,77225.14,1.56,429666821953919,7141015821,199200195177015,4248497498,69ef021c5882bc204f919028fc1b9dc7,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,394016,28.660561,37.536506,41.435025,25.945667,14.091473,73.183452,71.067588,29.991558,31.879935,28.660561,37.536506,41.435025,0.007186,55086.82,1.28,298212642347485,6079667443,141628727692076,3506633325,c10bef36d18d41bff555ff461b904d0b,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,173243,25.298832,35.102335,39.268540,19.978443,10.500708,49.374244,47.517207,24.239810,28.829036,25.298832,35.102335,39.268540,0.019755,31432.26,1.09,182485200657592,5665701836,87086919095656,3243402011,50182373fb13b01e42daaf9f71a96fbe,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,3825440,48.722868,50.583078,50.943982,46.426565,31.418247,96.589250,95.824799,52.652003,48.058598,48.722868,50.583078,50.943982,0.000008,28361.56,1.75,189036259463324,8736156492,79210269725676,4878545755,1f3ba118e1e2ff29581c332492340f7f,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2132428,42.889876,48.375256,48.736191,40.724316,25.426928,95.295913,94.202712,47.841163,44.171098,42.889876,48.375256,48.736191,0.001828,34232.22,1.45,231676904558002,7618396278,95600232744994,4031965805,0c8a6b23f4d785aa96b51182fef98d39,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,884025,37.756688,46.195475,46.726651,34.486001,19.683633,92.263272,90.584867,41.424296,40.467199,37.756688,46.195475,46.726651,0.214047,33584.21,1.23,242899487650028,6805790680,112868856885314,4373234642,78ac82dba8fee2a3f1f780504c722f55,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,320097,34.230072,44.215103,44.796269,28.391851,15.227537,84.106844,82.024480,35.017063,37.620375,34.230072,44.215103,44.796269,1.097131,58701.87,1.10,320827328704619,5196881915,151118259688536,3046770374,6d6cd9d67f4a60aee5a18c48a9fa39a5,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,160,134878,31.737062,42.496100,42.807908,23.121843,12.177917,67.069793,64.907264,30.061211,35.374135,31.737062,42.496100,42.807908,1.823662,28060.55,0.94,150671100816422,4792084123,71784527782323,2603505593,9c51e8c3158fe03432b8d67c6deabadb,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,185,59760,29.173989,40.550058,40.517044,17.998905,9.604368,42.762162,41.092780,26.011389,32.913084,29.173989,40.550058,40.517044,1.776188,12232.90,0.95,63695318747945,4278644594,31035629996829,2523134377,7ef16e19516e42fd87aee8a237049999,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,60,1031180,51.286197,55.502551,56.090688,43.909355,29.348227,96.430778,95.367054,50.771109,54.110264,51.286197,55.502551,56.090688,0.015411,41903.62,1.16,223146300849185,4923218670,107550622270018,3055860435,e8147ee5269770c85053ec5e3f478219,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,85,522113,47.573524,53.202708,53.890298,38.278234,24.764645,95.128898,93.733346,46.397890,50.036808,47.573524,53.202708,53.890298,0.041039,33150.52,1.01,177580601047246,4297982615,84696046066809,2750571069,f3554d74e3254ade2c22e371b93a615d,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,110,249402,43.799232,50.874782,51.861036,32.269841,20.334726,91.749804,89.927652,41.418304,46.519918,43.799232,50.874782,51.861036,0.159007,19788.73,0.82,104594811992576,3460644452,50257296726224,2243678288,01c2f46619860fd30092219ea94be1b1,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,135,104817,40.108026,48.369198,49.591236,26.122751,16.235866,82.485540,80.450731,36.628845,43.138546,40.108026,48.369198,49.591236,0.570315,19272.06,0.89,102035993330506,4407711880,48983142174242,2477250373,d66c34aaf648fcb189c3debf7e339898,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,160,41861,37.031769,45.611494,46.721583,20.342873,13.280069,65.246515,63.311094,33.028759,40.210105,37.031769,45.611494,46.721583,0.829948,8584.37,0.80,43714755585420,4143941288,21719301929238,2258406694,cf425b2beb214d255f757ab639ef0871,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,185,18342,34.424842,42.075083,43.543558,15.749986,11.189959,47.662892,45.922136,30.192268,37.466408,34.424842,42.075083,43.543558,1.191526,2846.04,0.52,18770043948935,3111892737,7947856923084,1463332528,82dd9d5b69172b4459a5cc2e879f2aa0,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,60,2753789,48.817167,52.781735,53.538305,41.517352,29.418651,97.234265,96.615001,50.156259,50.040890,48.817167,52.781735,53.538305,1.074166,34795.81,1.72,190827507397608,7010480976,89625136037426,4498042410,f48520e46d8446480de4a1229a3a9747,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,85,1440863,43.702691,50.600006,51.319656,35.329314,24.491640,96.849396,95.887352,46.443802,46.059830,43.702691,50.600006,51.319656,7.510484,21440.63,1.36,117958217253414,5331815104,55098347508764,3603792645,2812c2ac78f210f705230991e82c66cf,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,110,749825,39.814135,48.409740,49.232185,31.721029,22.143344,95.374868,93.973040,43.573082,43.205599,39.814135,48.409740,49.232185,11.289843,14686.05,1.23,80126025345481,5572542477,37755027088304,3402101615,86fd6d5dda943d8d9976f536fe44e2fb,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,135,377155,36.115804,46.261367,47.263817,29.198203,20.493220,91.479872,89.346682,40.146943,40.658001,36.115804,46.261367,47.263817,11.029231,29549.23,1.06,159907077042001,4986371886,75908300981677,2944373784,f2920fb331eb65c12a41cea67551214d,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,160,175824,32.251072,44.045263,45.006891,25.704760,18.166842,82.010551,79.115490,35.158228,37.906670,32.251072,44.045263,45.006891,10.573754,17990.87,0.63,121038726948701,3684437898,50243688674828,1804887711,469d267837f9cde30fef14f48a3786a2,
STILL,aom,av2,0,F1,buildings_02.y4m,4032x3024,25.00,8,4032x3024,185,75655,28.507194,41.424767,42.472745,21.437617,14.957667,66.142398,62.787649,29.375268,34.948750,28.507194,41.424767,42.472745,8.982342,16255.44,0.80,86880978553482,3492093437,41666083971263,2188150078,f1262d362949042186fd1a0d6504d803,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,60,6055130,48.326343,50.749678,50.621789,49.369182,37.767093,97.049636,96.340009,55.104925,47.010902,48.326343,50.749678,50.621789,0.002596,10040.10,2.26,65839156829673,11628009637,28038581314163,6389861847,ec9ba190e502c1ad692fd31d1ba977f6,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,85,4217897,42.576645,47.918548,47.727825,43.685955,31.775431,96.361240,95.258742,50.787065,42.908598,42.576645,47.918548,47.727825,0.004000,15234.49,2.46,80381153406958,10486163673,39445092910469,6547074270,e3f92c3ae9ab4fc49841bd40ec80f74c,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,110,2612204,36.797788,45.468140,45.088837,37.594858,25.865556,94.445885,92.777886,44.979368,38.721567,36.797788,45.468140,45.088837,0.005676,23056.42,1.75,156343331354571,9602980463,64392918043320,4880087635,dfa01c3598a87e9252b669cb0f8e0d48,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,135,1354505,31.603951,43.060199,42.556118,31.574258,20.643257,88.893967,86.744747,37.864811,34.650684,31.603951,43.060199,42.556118,0.012862,82236.61,1.76,454088103279001,8086982670,212194336960505,4792294062,a1aee7efd0e4af66485f5ca3ed48fa3b,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,160,621300,27.215324,40.633485,40.030302,25.305360,15.806362,74.365964,72.037764,30.132224,30.875640,27.215324,40.633485,40.030302,0.029164,72343.81,1.40,396648599871878,6522948981,186404734187580,3944993576,fcf557bf77f7b880bbef90feb5822216,
STILL,aom,av2,0,F1,buildings_03.y4m,4032x3024,25.00,8,4032x3024,185,259144,23.471499,38.458466,37.762764,19.270972,11.499520,49.132808,47.348387,23.389167,27.425157,23.471499,38.458466,37.762764,0.052723,47553.34,1.05,262458286258241,4877203427,122163373977574,2937953332,03494f9534cacacdb9dc2e8c008fdae9,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,60,1770883,51.301686,52.076243,52.133195,44.711368,28.912360,96.393215,95.492030,49.242727,51.781771,51.301686,52.076243,52.133195,0.556256,84329.68,2.61,452028098719541,8374327941,216499164510522,7062240452,51406241c319dbce867ebb554f1c4e36,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,85,704259,47.878736,49.746785,49.907529,38.708037,24.926434,94.828294,93.484451,45.801004,48.580170,47.878736,49.746785,49.907529,1.568570,46574.27,2.04,245266513378846,8229526695,118898992600153,5515577531,bdc5c5a0b82ee96d4b9717cc5b1912a0,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,110,323585,45.198152,47.437152,47.928261,33.276429,21.914145,90.883100,89.143857,42.613325,46.166082,45.198152,47.437152,47.928261,2.044961,19591.88,1.55,128330707359859,9310441538,54727045861982,4378139255,52c0802d32a750612f9c4bcf0a2234ef,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,135,150731,42.196647,44.874243,45.742993,27.917186,18.699277,82.443852,80.139981,38.847981,43.632575,42.196647,44.874243,45.742993,2.481386,20672.05,1.38,136368630136877,8507533426,57733814307050,3856451910,853510273e10b84df35767fb6ea4f046,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,160,66792,38.939054,42.036698,43.303293,22.512826,15.376997,65.555813,63.268743,34.928328,40.884371,38.939054,42.036698,43.303293,3.155257,12587.80,1.57,63334129235856,8049333623,31970444872216,4432392451,3ec3da376d0a6a4661cdc0f978f66702,
STILL,aom,av2,0,F1,church.y4m,6000x4000,25.00,8,6000x4000,185,27245,35.668195,38.886521,40.586607,17.434751,12.237925,43.166889,41.457355,31.265562,37.933513,35.668195,38.886521,40.586607,4.082770,5275.65,1.52,25811806507080,7558720956,13476453126016,4430835016,f0484f3d4ffeb9799a1f3cc25be5afa4,
STILL,aom,av2,0,F1,fireworks_01.y4m,4032x3024,25.00,8,4032x3024,60,4128045,48.948474,54.871699,53.267581,42.148443,30.217817,96.437554,95.764936,53.253411,52.050735,48.948474,54.871699,53.267581,0.000010,39113.54,2.04,210389174610875,8195909129,100888205849177,5315827233,c5bfeec3cf3e2c9a289abc33664a4b2b,
