TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18089.257204,42.351569,48.635343,48.641861,29.237791,20.295039,99.974900,99.897393,42.945577,43.208796,42.298371,48.608853,48.614756,1.063008,,,,,,,74cce95ccb7b13344d0081dcd0478427,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6474.828556,41.511909,47.458532,47.380626,27.379223,19.520251,99.495537,97.538928,41.386605,42.340280,41.495678,47.444670,47.364585,1.175756,,,,,,,0af84fc83c443ddc47f2437cf0b1fa57,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2694.093599,40.240243,45.933316,45.718887,24.958562,18.407493,94.899515,92.472569,39.064151,41.171336,40.224759,45.917549,45.703726,1.233582,,,,,,,e6ae9cd42cd28db92a6761a69e4e356d,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1311.422116,38.228226,43.921122,43.642803,21.711489,16.665088,85.747404,82.970612,35.851970,39.516081,38.205837,43.904428,43.627190,1.318380,,,,,,,8a0ca8da42dd21d60204f8cb3c010561,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,624.940598,35.478227,41.448827,41.326042,18.024363,14.381081,70.820964,67.725483,32.149987,37.318215,35.448810,41.428882,41.309459,1.335783,,,,,,,998e14ceee83b67746989b9f1c377367,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,289.213556,32.335871,38.713588,38.671282,14.297512,11.890644,51.712140,48.562436,28.431274,34.720733,32.304469,38.703852,38.660791,1.362497,,,,,,,a0e8e0038eebd0bec2f8537d4c689cd4,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,16906.280181,42.764393,48.773158,52.203484,28.402393,20.030937,95.331963,93.526212,43.085677,43.667210,42.721816,48.757880,52.192635,0.337701,,,,,,,f3539aa16cfbd25fe6f342447f60ba06,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,5197.872896,42.071994,48.082131,51.223429,25.766038,19.123061,90.652396,88.521327,41.470072,42.984925,42.061775,48.076570,51.213747,0.365619,,,,,,,82f6170f63d018bf416499f2192f9a5a,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2188.288020,41.002960,47.027652,49.741693,22.507735,17.857899,82.185980,79.821521,39.307307,41.966524,40.981057,47.018959,49.725060,0.380213,,,,,,,5bfde3b14aa6a57ba8c60fd139eccd7a,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1025.229540,39.368695,45.488803,47.686145,18.985902,16.173408,68.781119,66.357243,36.702236,40.461423,39.327716,45.475576,47.662664,0.411851,,,,,,,caad6cc0158c697e6ccd14b00ec89940,
