TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,18089.257204,42.351569,48.635343,48.641861,29.237791,20.295039,99.974900,99.897393,42.945577,43.208796,42.298371,48.608853,48.614756,1.063008,,,,,,,74cce95ccb7b13344d0081dcd0478427,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,6474.828556,41.511909,47.458532,47.380626,27.379223,19.520251,99.495537,97.538928,41.386605,42.340280,41.495678,47.444670,47.364585,1.175756,,,,,,,0af84fc83c443ddc47f2437cf0b1fa57,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,2694.093599,40.240243,45.933316,45.718887,24.958562,18.407493,94.899515,92.472569,39.064151,41.171336,40.224759,45.917549,45.703726,1.233582,,,,,,,e6ae9cd42cd28db92a6761a69e4e356d,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1311.422116,38.228226,43.921122,43.642803,21.711489,16.665088,85.747404,82.970612,35.851970,39.516081,38.205837,43.904428,43.627190,1.318380,,,,,,,8a0ca8da42dd21d60204f8cb3c010561,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,624.940598,35.478227,41.448827,41.326042,18.024363,14.381081,70.820964,67.725483,32.149987,37.318215,35.448810,41.428882,41.309459,1.335783,,,,,,,998e14ceee83b67746989b9f1c377367,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,289.213556,32.335871,38.713588,38.671282,14.297512,11.890644,51.712140,48.562436,28.431274,34.720733,32.304469,38.703852,38.660791,1.362497,,,,,,,a0e8e0038eebd0bec2f8537d4c689cd4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9099.974487,41.541173,47.019402,47.135270,28.226822,19.825143,99.877618,98.126348,42.021028,42.391760,41.525785,47.008116,47.120839,1.201535,,,,,,,b2edc5447a612f8e1f7914a0dffeec14,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,3735.357566,40.648979,45.989216,45.964863,26.217247,18.956594,96.870914,94.540781,40.175049,41.545428,40.637406,45.978149,45.950936,1.224929,,,,,,,1b4131b802123d4eb0f690f9f5cc36be,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1762.211942,39.070223,44.494332,44.326923,23.294322,17.506101,90.060512,87.365784,37.328927,40.227684,39.052113,44.480910,44.310741,1.322903,,,,,,,f48fa63d8e0a6cc88fdf0a1eae3ce79c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,854.970261,36.742933,42.591623,42.326399,19.787436,15.475184,77.991735,75.012492,33.858094,38.430194,36.718775,42.575382,42.310308,1.363732,,,,,,,25e805121f19eed38bf235c4f6471465,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,400.986091,33.835391,40.275585,40.115779,16.066856,13.083133,60.902760,57.714667,30.187318,36.167383,33.806055,40.261295,40.098371,1.403268,,,,,,,44c396a898bab93fe1e486d33cc13030,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,182.527626,30.655851,37.794316,37.726098,12.510990,10.648251,40.681941,37.927557,26.620784,33.612347,30.624849,37.783091,37.715576,1.325198,,,,,,,235aa1bd4f8beeeb4e64ca1e7c1c5a68,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6082.204565,40.631693,45.873077,45.745222,27.439627,19.346203,97.804651,95.454693,41.028938,41.698694,40.622930,45.865998,45.734082,1.259361,,,,,,,cfe97e643686ad4f87339c41df9cec54,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,2724.956274,39.669182,44.932605,44.684484,25.173546,18.344778,93.434837,90.857932,38.929428,40.816791,39.657735,44.923812,44.671639,1.334630,,,,,,,15a8163a9d3e784a08561a79d32f6428,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1304.505956,37.955178,43.492368,43.155412,21.966319,16.690320,84.641496,81.843839,35.857206,39.422745,37.935702,43.481633,43.141121,1.444745,,,,,,,6a4f69be737afbdb7be80ec8ada9bcab,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,623.384001,35.524157,41.629349,41.267695,18.366997,14.535450,70.456204,67.497823,32.348400,37.536444,35.498212,41.615482,41.252881,1.496873,,,,,,,d746980700f9a7be04cbc7af3a0a34c1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,286.845462,32.587133,39.329944,39.183256,14.704760,12.132115,52.249623,49.217925,28.762912,35.198334,32.558435,39.317264,39.172706,1.501551,,,,,,,1954a8f6b4ca6e8c116a086fb34e6d30,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,127.150388,29.456254,37.112498,37.089087,11.305285,9.787360,32.202699,29.737810,25.367283,32.801537,29.428370,37.100744,37.077864,1.407403,,,,,,,afeccb5c04b0ec8d7fb66efe5f313265,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,110,3557.127181,38.379809,44.448273,43.811592,25.919651,18.065042,90.451503,87.871994,37.556668,40.413003,38.374910,44.443119,43.802101,1.353435,,,,,,,7a36121442f718283c508ca08231e4a5,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,135,1751.046492,37.494192,43.554467,42.913932,23.330587,16.961620,84.312138,81.603000,35.777748,39.509871,37.484935,43.547300,42.902717,1.441242,,,,,,,f7d056344c452641c97c641df8363f76,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,160,842.989626,35.886751,42.126643,41.569193,19.920829,15.223352,72.796051,70.014042,33.122336,38.080233,35.869073,42.116145,41.556453,1.530235,,,,,,,6a346886c597cbba5881e51246153309,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,185,396.921233,33.573846,40.305221,39.822537,16.301849,13.063133,56.712212,53.943173,29.992763,36.209707,33.549146,40.293595,39.807597,1.581643,,,,,,,27695e822475c63a40ed51f2c00344ee,
